Municipios	Sexo	Periodo	Total
28040 Ciempozuelos	Total	2022	25.383
28040 Ciempozuelos	Hombres	2022	12.799
28040 Ciempozuelos	Mujeres	2022	12.584
28041 Cobeña	Total	2022	7.551
28041 Cobeña	Hombres	2022	3.697
28041 Cobeña	Mujeres	2022	3.854
28046 Collado Mediano	Total	2022	7.456
28046 Collado Mediano	Hombres	2022	3.702
28046 Collado Mediano	Mujeres	2022	3.754
28047 Collado Villalba	Total	2022	64.263
28047 Collado Villalba	Hombres	2022	31.170
28047 Collado Villalba	Mujeres	2022	33.093
28043 Colmenar de Oreja	Total	2022	8.462
28043 Colmenar de Oreja	Hombres	2022	4.295
28043 Colmenar de Oreja	Mujeres	2022	4.167
28042 Colmenar del Arroyo	Total	2022	1.936
28042 Colmenar del Arroyo	Hombres	2022	1.020
28042 Colmenar del Arroyo	Mujeres	2022	916
28045 Colmenar Viejo	Total	2022	53.389
28045 Colmenar Viejo	Hombres	2022	26.267
28045 Colmenar Viejo	Mujeres	2022	27.122
28044 Colmenarejo	Total	2022	9.473
28044 Colmenarejo	Hombres	2022	4.652
28044 Colmenarejo	Mujeres	2022	4.821
28048 Corpa	Total	2022	764
28048 Corpa	Hombres	2022	384
28048 Corpa	Mujeres	2022	380
28049 Coslada	Total	2022	80.596
28049 Coslada	Hombres	2022	39.281
28049 Coslada	Mujeres	2022	41.315
28050 Cubas de la Sagra	Total	2022	6.698
28050 Cubas de la Sagra	Hombres	2022	3.352
28050 Cubas de la Sagra	Mujeres	2022	3.346
28053 Daganzo de Arriba	Total	2022	10.650
28053 Daganzo de Arriba	Hombres	2022	5.310
28053 Daganzo de Arriba	Mujeres	2022	5.340
28054 Escorial, El	Total	2022	16.618
28054 Escorial, El	Hombres	2022	8.200
28054 Escorial, El	Mujeres	2022	8.418
28055 Estremera	Total	2022	1.410
28055 Estremera	Hombres	2022	720
28055 Estremera	Mujeres	2022	690
28056 Fresnedillas de la Oliva	Total	2022	1.784
28056 Fresnedillas de la Oliva	Hombres	2022	898
28056 Fresnedillas de la Oliva	Mujeres	2022	886
28057 Fresno de Torote	Total	2022	2.444
28057 Fresno de Torote	Hombres	2022	1.294
28057 Fresno de Torote	Mujeres	2022	1.150
28058 Fuenlabrada	Total	2022	189.891
28058 Fuenlabrada	Hombres	2022	93.170
28058 Fuenlabrada	Mujeres	2022	96.721
28059 Fuente el Saz de Jarama	Total	2022	7.034
28059 Fuente el Saz de Jarama	Hombres	2022	3.530
28059 Fuente el Saz de Jarama	Mujeres	2022	3.504
28060 Fuentidueña de Tajo	Total	2022	2.250
28060 Fuentidueña de Tajo	Hombres	2022	1.139
28060 Fuentidueña de Tajo	Mujeres	2022	1.111
28061 Galapagar	Total	2022	34.834
28061 Galapagar	Hombres	2022	16.914
28061 Galapagar	Mujeres	2022	17.920
28062 Garganta de los Montes	Total	2022	395
28062 Garganta de los Montes	Hombres	2022	214
28062 Garganta de los Montes	Mujeres	2022	181
28063 Gargantilla del Lozoya y Pinilla de Buitrago	Total	2022	361
28063 Gargantilla del Lozoya y Pinilla de Buitrago	Hombres	2022	206
28063 Gargantilla del Lozoya y Pinilla de Buitrago	Mujeres	2022	155
28064 Gascones	Total	2022	212
28064 Gascones	Hombres	2022	114
28064 Gascones	Mujeres	2022	98
28065 Getafe	Total	2022	183.219
28065 Getafe	Hombres	2022	89.393
28065 Getafe	Mujeres	2022	93.826
28066 Griñón	Total	2022	10.491
28066 Griñón	Hombres	2022	5.189
28066 Griñón	Mujeres	2022	5.302
28067 Guadalix de la Sierra	Total	2022	6.672
28067 Guadalix de la Sierra	Hombres	2022	3.355
28067 Guadalix de la Sierra	Mujeres	2022	3.317
28068 Guadarrama	Total	2022	16.921
28068 Guadarrama	Hombres	2022	8.343
28068 Guadarrama	Mujeres	2022	8.578
28069 Hiruela, La	Total	2022	75
28069 Hiruela, La	Hombres	2022	50
28069 Hiruela, La	Mujeres	2022	25
28070 Horcajo de la Sierra-Aoslos	Total	2022	201
28070 Horcajo de la Sierra-Aoslos	Hombres	2022	107
28070 Horcajo de la Sierra-Aoslos	Mujeres	2022	94
28071 Horcajuelo de la Sierra	Total	2022	110
28071 Horcajuelo de la Sierra	Hombres	2022	58
28071 Horcajuelo de la Sierra	Mujeres	2022	52
28072 Hoyo de Manzanares	Total	2022	8.811
28072 Hoyo de Manzanares	Hombres	2022	4.443
28072 Hoyo de Manzanares	Mujeres	2022	4.368
28073 Humanes de Madrid	Total	2022	19.838
28073 Humanes de Madrid	Hombres	2022	9.869
28073 Humanes de Madrid	Mujeres	2022	9.969
28074 Leganés	Total	2022	186.660
28074 Leganés	Hombres	2022	90.038
28074 Leganés	Mujeres	2022	96.622
28075 Loeches	Total	2022	8.944
28075 Loeches	Hombres	2022	4.496
28075 Loeches	Mujeres	2022	4.448
28076 Lozoya	Total	2022	602
28076 Lozoya	Hombres	2022	322
28076 Lozoya	Mujeres	2022	280
28901 Lozoyuela-Navas-Sieteiglesias	Total	2022	1.461
28901 Lozoyuela-Navas-Sieteiglesias	Hombres	2022	759
28901 Lozoyuela-Navas-Sieteiglesias	Mujeres	2022	702
28078 Madarcos	Total	2022	63
